sensor_point5_i_value,sensor_point6_i_value,sensor_point7_i_value,sensor_point8_i_value,sensor_point9_i_value,sensor_point10_i_value,clean_temp,clean_ec,clean_ph4,clean_ph5,clean_ph7,clean_ph8,clean_pressure11,clean_pressure12,clean_pressure21,clean_pressure22,clean_pressure23,clean_pressure31,clean_pressure33,clean_pressure41,clean_pressure42,clean_pressure51,clean_pressure52,clean_pressure61,clean_pressure62,clean_pressure71,clean_pressure72,clean_pressure81,clean_pressure82,clean_pressure91,clean_pressure92,clean_pressure101,clean_pressure102,oven_pa1,oven_pa2,oven_pb1,oven_pb2,oven_a1,oven_a2,oven_a3,oven_b1,oven_b2,oven_b3,painting_g1_act_a_air,painting_g1_act_f_air,painting_g1_act_t_air,painting_g1_act_hvv,painting_g1_act_hvc,painting_g2_act_a_air,painting_g2_act_f_air,painting_g2_act_t_air,painting_g2_act_hvv,painting_g2_act_hvc,painting_g3_act_a_air,painting_g3_act_f_air,painting_g3_act_t_air,painting_g3_act_hvv,painting_g3_act_hvc,painting_g4_act_a_air,painting_g4_act_f_air,painting_g4_act_t_air,painting_g4_act_hvv,painting_g4_act_hvc,painting_g5_act_a_air,painting_g5_act_f_air,painting_g5_act_t_air,painting_g5_act_hvv,painting_g5_act_hvc,painting_g6_act_a_air,painting_g6_act_f_air,painting_g6_act_t_air,painting_g6_act_hvv,painting_g6_act_hvc,painting_g7_act_a_air,painting_g7_act_f_air,painting_g7_act_t_air,painting_g7_act_hvv,painting_g7_act_hvc,painting_g8_act_a_air,painting_g8_act_f_air,painting_g8_act_t_air,painting_g8_act_hvv,painting_g8_act_hvc,painting_g9_act_a_air,painting_g9_act_f_air,painting_g9_act_t_air,painting_g9_act_hvv,painting_g9_act_hvc,painting_g10_act_a_air,painting_g10_act_f_air,painting_g10_act_t_air,painting_g10_act_hvv,painting_g10_act_hvc,painting_g11_act_a_air,painting_g11_act_f_air,painting_g11_act_t_air,painting_g11_act_hvv,painting_g11_act_hvc,painting_g12_act_a_air,painting_g12_act_f_air,painting_g12_act_t_air,painting_g12_act_hvv,painting_g12_act_hvc,env_rpi05_hum,env_rpi05_pm1,env_rpi05_pm10,env_rpi05_pm25,env_rpi05_temp,env_rpi07_hum,env_rpi07_pm1,env_rpi07_pm10,env_rpi07_pm25,env_rpi07_temp,env_rpi09_hum,env_rpi09_lux,env_rpi09_pm1,env_rpi09_pm10,env_rpi09_pm25,env_rpi09_temp,env_rpi14_hum,env_rpi14_lux,env_rpi14_pm1,env_rpi14_pm10,env_rpi14_pm25,env_rpi14_temp,env_rpi15_hum,env_rpi15_lux,env_rpi15_pm1,env_rpi15_pm10,env_rpi15_pm25,env_rpi15_temp,test
42.0,56.0,82.0,41.0,73.0,45.0,41.1,12.4,,,,6.9,820.24,1262.82,883.46,630.74,640.79,509.75,716.48,1065.79,817.12,833.01,604.2,1139.1,648.61,707.22,1196.38,903.51,825.09,905.59,742.77,414.85,455.39,175.85,203.06,207.45,198.49,174.87,207.38,211.92,190.48,215.01,207.86,7.65,140.93,258.92,56.37,18.78,7.21,150.62,261.26,52.5,23.83,7.03,141.84,255.23,51.51,25.17,,,,,,,,,,,,,,,,6.71,137.76,253.8,56.69,11.2,7.15,137.1,253.0,53.26,23.84,7.23,137.79,254.08,56.6,18.23,,,,,,,,,,,,,,,,63.24,60.33,75.83,69.5,29.05,48.98,11.33,17.16,14.16,26.21,,,,,,,48.96,,26.33,47.5,37.33,34.41,43.73,0.5,29.5,51.5,42.0,34.78,
37.0,60.0,58.0,40.0,64.0,42.0,41.1,12.4,,,,6.9,820.15,1263.0,883.6,630.7,640.8,509.7,716.5,1065.9,817.05,833.05,604.2,1139.05,648.6,706.95,1196.6,903.6,825.15,905.4,742.8,414.65,455.25,176.0,203.01,207.4,198.35,174.85,207.37,211.9,190.42,215.02,207.85,7.09,125.88,231.92,51.55,17.1,7.04,146.06,253.31,50.61,23.45,7.13,137.42,247.36,49.82,24.54,0.4,5.41,9.48,1.9,1.04,,,,,,,,,,,5.73,123.67,227.93,50.22,9.93,6.41,128.27,236.76,50.1,21.9,6.4,128.93,237.57,53.6,17.22,,,,,,,,,,,,,,,,63.24,60.33,75.83,69.5,29.05,48.98,11.33,17.16,14.16,26.21,,,,,,,48.96,,26.33,47.5,37.33,34.41,43.73,0.5,29.5,51.5,42.0,34.78,
35.0,66.0,62.0,39.0,86.0,45.0,41.1,12.4,,,,6.9,820.15,1263.0,883.6,630.7,640.8,509.7,716.5,1065.9,817.05,833.05,604.2,1139.05,648.6,706.95,1196.6,903.6,825.15,905.4,742.8,414.65,455.25,176.0,203.01,207.4,198.35,174.85,207.37,211.9,190.42,215.02,207.85,7.09,125.88,231.92,51.55,17.1,7.04,146.06,253.31,50.61,23.45,7.13,137.42,247.36,49.82,24.54,0.4,5.41,9.48,1.9,1.04,,,,,,,,,,,5.73,123.67,227.93,50.22,9.93,6.41,128.27,236.76,50.1,21.9,6.4,128.93,237.57,53.6,17.22,,,,,,,,,,,,,,,,63.24,60.33,75.83,69.5,29.05,48.98,11.33,17.16,14.16,26.21,,,,,,,48.96,,26.33,47.5,37.33,34.41,43.73,0.5,29.5,51.5,42.0,34.78,
37.0,58.0,58.0,42.0,52.0,39.0,41.1,12.4,,,,6.9,820.15,1263.0,883.6,630.7,640.8,509.7,716.5,1065.9,817.05,833.05,604.2,1139.05,648.6,706.95,1196.6,903.6,825.15,905.4,742.8,414.65,455.25,176.0,203.01,207.4,198.35,174.85,207.37,211.9,190.42,215.02,207.85,7.09,125.88,231.92,51.55,17.1,7.04,146.06,253.31,50.61,23.45,7.13,137.42,247.36,49.82,24.54,0.4,5.41,9.48,1.9,1.04,,,,,,,,,,,5.73,123.67,227.93,50.22,9.93,6.41,128.27,236.76,50.1,21.9,6.4,128.93,237.57,53.6,17.22,,,,,,,,,,,,,,,,63.24,60.33,75.83,69.5,29.05,48.98,11.33,17.16,14.16,26.21,,,,,,,48.96,,26.33,47.5,37.33,34.41,43.73,0.5,29.5,51.5,42.0,34.78,
57.0,78.0,62.0,51.0,64.0,65.0,41.1,12.4,,,,6.9,820.78,1264.0,883.31,630.74,640.69,508.91,715.64,1065.94,816.86,833.03,604.26,1138.81,648.16,705.34,1196.08,902.72,824.85,905.0,742.62,413.86,454.2,176.2,202.81,205.96,197.1,174.86,207.41,212.0,190.9,215.23,207.72,7.66,130.16,261.21,54.59,23.59,7.29,154.83,260.25,52.31,26.19,7.07,147.8,265.26,48.99,28.31,,,,,,,,,,,,,,,,7.3,127.7,245.01,52.56,12.39,6.95,132.45,244.33,49.81,24.82,7.15,131.71,242.71,50.92,20.3,,,,,,,,,,,,,,,,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17.0,26.42,,,,,,,48.78,,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82,
42.0,72.0,84.0,54.0,56.0,64.0,41.1,12.4,,,,6.9,820.78,1264.0,883.31,630.74,640.69,508.91,715.64,1065.94,816.86,833.03,604.26,1138.81,648.16,705.34,1196.08,902.72,824.85,905.0,742.62,413.86,454.2,176.2,202.81,205.96,197.1,174.86,207.41,212.0,190.9,215.23,207.72,7.66,130.16,261.21,54.59,23.59,7.29,154.83,260.25,52.31,26.19,7.07,147.8,265.26,48.99,28.31,,,,,,,,,,,,,,,,7.3,127.7,245.01,52.56,12.39,6.95,132.45,244.33,49.81,24.82,7.15,131.71,242.71,50.92,20.3,,,,,,,,,,,,,,,,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17.0,26.42,,,,,,,48.78,,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82,
48.0,72.0,92.0,41.0,76.0,48.0,41.1,12.4,,,,6.9,820.78,1264.0,883.31,630.74,640.69,508.91,715.64,1065.94,816.86,833.03,604.26,1138.81,648.16,705.34,1196.08,902.72,824.85,905.0,742.62,413.86,454.2,176.2,202.81,205.96,197.1,174.86,207.41,212.0,190.9,215.23,207.72,7.66,130.16,261.21,54.59,23.59,7.29,154.83,260.25,52.31,26.19,7.07,147.8,265.26,48.99,28.31,,,,,,,,,,,,,,,,7.3,127.7,245.01,52.56,12.39,6.95,132.45,244.33,49.81,24.82,7.15,131.71,242.71,50.92,20.3,,,,,,,,,,,,,,,,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17.0,26.42,,,,,,,48.78,,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82,
49.0,60.0,78.0,33.0,49.0,55.0,41.1,12.4,,,,6.9,820.78,1264.0,883.31,630.74,640.69,508.91,715.64,1065.94,816.86,833.03,604.26,1138.81,648.16,705.34,1196.08,902.72,824.85,905.0,742.62,413.86,454.2,176.2,202.81,205.96,197.1,174.86,207.41,212.0,190.9,215.23,207.72,7.66,130.16,261.21,54.59,23.59,7.29,154.83,260.25,52.31,26.19,7.07,147.8,265.26,48.99,28.31,,,,,,,,,,,,,,,,7.3,127.7,245.01,52.56,12.39,6.95,132.45,244.33,49.81,24.82,7.15,131.71,242.71,50.92,20.3,,,,,,,,,,,,,,,,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17.0,26.42,,,,,,,48.78,,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82,
41.0,72.0,70.0,47.0,67.0,60.0,41.9,12.5,,,,7.0,821.01,1266.62,883.79,630.74,640.83,508.47,714.9,1066.8,817.4,832.91,604.02,1138.47,647.77,703.14,1193.79,903.14,825.18,905.55,743.65,414.25,453.93,175.78,203.43,202.32,195.88,174.16,206.63,211.8,191.06,214.99,207.8,6.71,111.35,229.25,48.44,21.6,6.6,141.83,225.62,45.58,22.87,6.29,124.67,224.46,44.87,22.75,,,,,,,,,,,,,,,,5.6,111.3,216.54,44.9,11.5,5.97,116.97,215.7,42.55,22.23,6.08,112.44,207.06,45.19,17.58,,,,,,,,,,,,,,,,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17.0,26.42,,,,,,,48.78,,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82,
46.0,70.0,74.0,46.0,62.0,60.0,41.9,12.5,,,,7.0,821.01,1266.62,883.79,630.74,640.83,508.47,714.9,1066.8,817.4,832.91,604.02,1138.47,647.77,703.14,1193.79,903.14,825.18,905.55,743.65,414.25,453.93,175.78,203.43,202.32,195.88,174.16,206.63,211.8,191.06,214.99,207.8,6.71,111.35,229.25,48.44,21.6,6.6,141.83,225.62,45.58,22.87,6.29,124.67,224.46,44.87,22.75,,,,,,,,,,,,,,,,5.6,111.3,216.54,44.9,11.5,5.97,116.97,215.7,42.55,22.23,6.08,112.44,207.06,45.19,17.58,,,,,,,,,,,,,,,,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17.0,26.42,,,,,,,48.78,,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82,
